S.No.,Project Details and Address,Project Completion Date,Location of Site
247," - Construction of Registration of Stilt Floor + 5 Floor Residential Building with 30 dwelling units at Kalaimagal Nagar, 2nd Main Road & Kalaimagal Nagar 1st Main Road, Ekkattuthangal, Chennai comprised in T.S.Nos.35/4 & 36, Block No.01 of Ekkattuthangal Village, Guindy Taluk, Chennai District.",31.10.2026,
248," - Construction of Registration of Stilt Floor + 3 Floors Residential Building with 09 Dwelling Units at Plot No.55B & 56 Part, Srinivasa Colony, Palaru Street, Ambattur, Chennai comprised in T.S.No.106, Block No.2 of Athipet Village, Ambattur Taluk, Chennai District.",30.06.2024, Latitude-13§05?30.3?N; Longitude-80§08?44.0?E;
249," - Construction of Promoter?s share of Flat Nos.1A, 1B, 5A, 5B of Stilt Floor + 5 Floors Residential Building at TNHB Block No.77, Ambattur Estate ? Thirumangalam Road, Anna Nagar, Chennai ? 600102 comprised in Old S.No.289pt of Padi Village, T.S.Nos.87/7, 87/8, Block No.9, Ward??H? of Mogappair Village, Ambattur Taluk, Chennai District.",January 2024, Latitude-13§08?N; Longitude-80§18'E;
250," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Plot No.65, East Balaji Nagar 6th Cross Street comprised in Old S.Nos.765/1A2, 765/1A3, T.S.No.22/12, Block No.8 of Korattur Village, Ambattur Taluk, Chennai District.",30.12.2024, Latitude-13§13?N; Longitude-80§17'E;
251,,December 2026, Latitude-13§12?N; Longitude-80§19'E;
252,,20.04.2028,
253,Project Details and Address,30.11.2025,
254," - Construction of Registration of Stilt Floor + 4 Floors IT/ITES Office use Building at Plot No.87, Industrial Estate Road (Developed Plots Estate for Electrical Electronics and Instruments Industries) at Perungudi, Chennai ? 600096 comprised in S.No.7/3 (as per Patta) of Neelankarai Village, Chennai.",December 2026, Latitude-12ø57?19.7?N; Longitude-80ø14?47.2?E;
255," - Construction of Registration of Stilt + 5 Floors Residential Building with 10 dwelling units (Height ? 18.30m) with availing Premium FSI at Plot No.90 part, Old Door No.18, New Door No.4, Vaidyaraman Street, T.Nagar, Chennai comprised in Old S.Nos.135, 125/6 & 126/8 (as per Document), Old S.No.6674, T.S.No.6674/2, Block No.142 (as per Patta) of T.Nagar Village, Chennai.",30.03.2027, Latitude-13.03582'N; Longitude-80.24183'E;
256," - Construction of Registration of Stilt Floor + 4 Floors Affordable Residential Apartment with 24 dwelling units after demolishing the existing old Building in Door No.65 & 65/1 (Old Door No.65 & 65A), T.S.Nos.47/1, 2, 3, 4 & 5, Block No.13, Ward No.Y (Old Ward.E) of Officers Colony, Renganathapuram, Puthur, K.Abishekapuram Zone, Tiruchirappalli District.",March 2027,
257," - Construction of Registration of Basement Floor + 5 Floors Residential Building with 90 dwelling units comprised in T.S.No.17/2, Block No.49, Ward No.V(22), Ganapathy Village, Coimbatore North Taluk, Coimbatore District.",26.04.2031,
258," - Construction of Stilt Floor + 4 Floors + 5th Floor pt Residential Building with 19 dwelling units (Affordable Housing) at Plot No.96, 4th Cross Street, Classic Retreat, Sholinganallur, Chennai comprised in Old S.No.591/5Cpt and 589/5Apt, New S.No.591/1A11 & 589/1A12 of Sholinganallur Village, Chennai.",12.12.2030,
259, - Construction of Registration of High Rise Residential Building comprising of Stilt Floor + 10 Floors with 90 dwelling units with Gym & Association Room in 2nd & 3rd Floor comprised in Survey Nos.11/8 & 11/9 of Kadirvedu Village within the limit of Greater Chennai Corporation.,June 2026,
260," - Construction of Registration of Block-A & B, Block-A: Stilt Floor + 5 Floors Residential Building with 110 dwelling units, Block-B: Stilt Floor + 5 Floors Residential Building with 120 dwelling units altogether 230 dwelling units comprised in T.S.Nos.7/1, 7/2, 55, 56, 57, 59, 60, 61 & 84/3, Ward No.31(AE), Block No.22 of Uppilipalayam Village, Coimbatore District.",25.04.2031,
261," - Construction of Registration of Group Housing Development consisting of 17 Blocks with Block Nos?1, 2, 3, 4, 5, 9, 10, 11, 12, 14, 15, 16, 18 & 19: Ground Floor + First Floor Residential Villas with 14 Dwelling Units and Block Nos?6 & 7: Ground Floor + Two Floors Residential Villas with 02 Dwelling Units (Totally 16 Dwelling Units) + Block (Gym): Ground Floor + 2 Floors comprised in Old Survey Nos.557, 558/2, New Town Survey No.22/2, Block No.5, Ward?30 of Central Studio Road, Uppilipalayam Village, Coimbatore Corporation.",12.02.2028,
262," - Construction of Registration of Demolition and Reconstruction of Residential Building consisting of Stilt Floor + 1st Floor to 3rd Floor, Totally 09 Dwelling Units at Plot No.21, D.No.13/6 of Andavar Nagar 2nd Street, Kodambakkam, Chennai ? 600024 comprised in T.S.No.14/2, Block No.9 of Puliyur Village, Egmore Taluk within the limit of Greater Chennai Corporation.",31.12.2024,
263," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Plot No.1205, 14th Main Road, Ram Nagar South, Madipakkam, Chennai ? 600091 comprised in S.No.123/1C of Madipakkam Village, Sholinganallur Taluk, Chennai District.",March 2024, Latitude-12ø57?N; Longitude-80ø12?E;
264," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Sub-division Plot No.A, Annai Nagar, Korattur, Chennai comprised in Old S.Nos.164/1A11B, 165, 165/6C, New T.S.Nos.85/11, 85/13, Block No.33, Ward-?E? of Korattur Village, Ambattur Taluk, Chennai District.",30.08.2027, Latitude-13ø07?N; Longitude-80ø11?E;
265,,May 2024, Latitude-13ø06?N; Longitude-80ø22?E;
266,Project Details and Address,31.12.2025, Latitude-12ø56?N; Longitude-80ø15?E;
267," - Construction of Registration of Residential Blocks: Block?A ? Stilt Floor + 5 Floors = 10 dwelling units; Block?B - Stilt Floor + 5 Floors = 10 dwelling units; Block?C - Stilt Floor + 5 Floors = 10 dwelling units; Block?D - Stilt Floor + 5 Floors = 30 dwelling units; Block?E - Stilt Floor + 5 Floors = 50 dwelling units; Block?F - Stilt Floor + 5 Floors = 20 dwelling units; Block?G - Stilt Floor + 5 Floors = 30 dwelling units; Block?H - Stilt Floor + 5 Floors = 30 dwelling units; Block?J & K - Stilt Floor + 5 Floors = 80 dwelling units; Block?L - Stilt Floor + 5 Floors = 30 dwelling units; Block?M - Stilt Floor + 5 Floors = 20 dwelling units; Villas ? Ground Floor + First Floor = 35 Villas (Totalling 355 dwelling units); Commercial Blocks: Amenities Block - Ground Floor + 3 Floors; Office Block ? Ground Floor + 3 Floors; Meditation Hall - Ground Floor comprised in S.Nos.853/1A1, 854, 855, 857, 863/3, 864/1C, 864/2C of Kalikanaickenpalayam Village, Thaliyur Town Panchayat, Perur Taluk, Coimbatore District.",April 2031,
268," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Plot No.B, Anna Nagar, Korattur, Chennai comprised in Old R.S.Nos.164/1A11B, 165, 165/6C, New T.S.Nos.85/5 & 85/12, Block No.33, Ward No.E of Korattur Village, Chennai.",30.08.2027, Latitude-13ø07?06.3?N; Longitude-80ø11?43.9?E;
269,,Completed, Latitude-11ø01?78.59?N; Longitude-79ø96?48.66?E;
270," - Construction of Registration of Stilt Floor + 3 Floors Residential Building with 9 dwelling units at Old Door No.06, New Door No.11, Station Road, West Mambalam, Chennai comprised in Old S.No.34/4A, as per Patta T.S.No.18, Block No.09 of Mambalam Village, Chennai District.",30.06.2025,
271," - Construction of Registration of Stilt Floor + 5 Floors (Height 18.30m) Residential Building with 10 dwelling units availing Premium FSI at New Door No.34 & 36, Old Door No.58, Burkit Road, T.Nagar, Chennai - 600017 comprised in T.S.No.5968, Block No.132 of T.Nagar Village within the limit of Greater Chennai Corporation.",25.04.2028,
272," - Construction of Stilt Floor + 5 Floors Residential Building with 20 dwelling units at Plot No.15 & 16, Ganapathy Colony Road and Queen Park Road, Selaiyur, Chennai comprised in Old S.No.7/3A1A1A1A1 part, New T.S.No.78, Block No.60, Ward-?G? of Selaiyur Village, Tambaram Taluk, Chengalpattu District.",30.06.2028, Latitude-12ø55?N; Longitude-80ø08?E;
273, ? Block-1 to Block-06 (6 Villas) and Type ?B,19.03.2028,
274,,18.04.2028, Latitude-13ø02?49.4?N; Longitude-80ø14?09.7?E;
275,,23.03.2031, Latitude-12.98135'N; Longitude-80.18786'E;
276,,30.04.2026, Latitude-13ø08?10.3?N; Longitude-80ø23?39.8?E;
277,,31.12.2023, Latitude-12ø97?N; Longitude-80ø21?E;
278,,31.12.2025,
279,,31.12.2024,
280,,31.03.2028, Latitude-10ø86?N; Longitude-78ø68?E;
281,,August 2025, Latitude-12.96283?N; Longitude-80.24192?E;
282,,03.01.2031, Latitude-12§58?24.7?N; Longitude-80§12?57.0?E;
283,,December 2024,
284,,31.12.2027, Latitude-13§01?24.55?N; Longitude-80§15?33.82?E;
285,,15.05.2026,
286,,15.05.2026, Latitude-11§01?20.2?N; Longitude-76§57?41.4?E;
287,,19.04.2028, Latitude-11§00?64.09?N; Longitude-76§88?60.79?E;
288,,31.12.2024, Latitude-13§05?N; Longitude-80§24?E;
289,,31.12.2026,
290,,Completed,
291,,Completed, Latitude-11§05?56.84?N; Longitude-77§08?36.76?E;
292," - Construction of Registration of Ground Floor + 1 Floor Residential Building with 41 Dwelling Units comprised in S.Nos.70/1A2, 70/1B, 70/2B, 70/1C1, 70/1C2, 70/1C3, 70/1C4, 70/2C1A1, 70/2C1B of Thiruvidanthal Village, Thiruporur Taluk, Chengalpattu District.",31.05.2028, Latitude-12§78?19.39?N; Longitude-80§24?91.07?E;
293," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 10 dwelling units at Old Door No.13 & 14, New Door No.4 & 6, Kuppusamy Street, T.Nagar, Chennai comprised in Old T.S.No.4994/2, 4994/3 (as per Doc), New T.S.No.4991/3 & 4991/4 (as per Patta), Block No.117 of T.Nagar Village, Chennai District.",24.04.2024, Latitude-13§02?42.8?N; Longitude-80§14?18.0?E;
294,,March 2025, Latitude-9§97?36.74?N; Longitude-78§13?09.61?E;
295,,30.11.2026, Latitude-11§40?13.6?N; Longitude-78§06?29.1?E;
296,,31.12.2026,
297," - Construction of Registration of Stilt Floor + 4 Floors Residential Building with 32 Dwelling Units of Ward-XXIII, Block-26, T.S.No.16/6Apt, 6/6B pt (R.S.No.179/6Apt, 179/6Bpt) of Ponmeni Village, Madurai West Taluk, Madurai District.",30.06.2026,
298," - Construction of Registration of Group Housing Development - Combined Stilt Floor with 6 Blocks, Block-A: Stilt Floor + 5 Floors Residential Building with 26 dwelling units including Gym, Indoor Games, Block-B: Stilt Floor + 5 Floors Residential Building with 30 dwelling units, Block-C: Stilt Floor + 5 Floors Residential Building with 40 dwelling units, Block-D: Stilt Floor + 5 Floors Residential with 50 dwelling units, Block-E: Stilt Floor + 5 Floors Residential with 50 dwelling units, Block-F: Stilt Floor + 5 Floors Residential with 30 dwelling units (Totally 226 dwelling units) at Arignar Anna Street / Victory Field Road, Madhavaram, Chennai ? 600060 comprised in Old S.Nos.1014 part, 1015 part and 1016 part, New T.S.No.1/9 and 1/11, Block No.24, Ward-B of Madhavaram Village, Chennai.",September 2026, Latitude-13§8?43.28?N; Longitude-80§14?9.77?E;
299," - Construction of Phase-1: Block No.1 - Ground Floor + 1st Floor with one dwelling unit, Block No.2 to 7 - Ground Floor + 2 Floors with one dwelling unit in each Blocks and by totalling 7 dwelling units comprised in T.S.Nos.13/1, 13/2, Ward No.AA-(27), Block No.13 of Sowripalayam Village, Coimbatore South Taluk, Coimbatore District. Phase-2: Block No.10 to 18 - Ground Floor + 2 Floors with one dwelling unit each and by totalling 9 dwelling units comprised in T.S.Nos.65/1, 65/3, 65/5, Ward No.AA-(27), Block No.13 of Sowripalayam Village, Coimbatore South Taluk, Coimbatore District.",January 2031, Latitude-11§03?N; Longitude-76§99?E;
300," - Construction of Group Development of Residential Building at Block?1: Stilt + 5 Floors with 25 Dwelling Units, Block?2: Stilt + 5 Floors with 25 Dwelling Units (Total 50 Dwelling Units) and Block?3: Ground Floor + 1st Floor with Commercial Building at T.S.No.109, Old S.No.86/6, Block No?17, Ward?23 of Vellikannu Theatre Road, Navalar Nagar, Ponmeni Village, Madurai West Taluk, Madurai District.",31.12.2026," Latitude-9§55?41.82""N; Longitude-78§5?49.31""E;"
301," - Construction of Basement Floor + Stilt Floor + 5 Floor Residential Building with 135 Dwelling Units comprised in S.Nos.252/1B & 252/1C of Vilankurichi Village, Coimbatore North Taluk, Coimbatore Corporation, Coimbatore District.",04.06.2028," Latitude-11§03?25.452""N; Longitude-77§00?41.238""E;"
302," - Construction of Registration of Stilt Floor + 5 Floors Residential Building with 09 dwelling units at Bobbili Raja Road, Kalinga Colony, K.K.Nagar, Chennai comprised in Old S.No.55/1A Part & 56/1B Part, T.S.No.2/12, Block No.98 of Kodambakkam Village, Chennai.",January 2024, Latitude-13.040821'N; Longitude-80.205911'E;
303,Project Details and Address,December 2027, Latitude-13§4?N; Longitude-80§13?E;
304," - Construction of Registration of Developer?s Share of Flat Nos.A in 1st Floor, A in 2nd Floor, C in 4th Floor (Total 03 Flats) at Stilt Floor + 4 Floors Residential Building with 12 dwelling units at Old No.14, New No.9, Town Planning Scheme Road, Raja Annamalai Puram, Mandaveli, Chennai comprised in Old S.No.17, R.S.No.4230/51, Block No.90 of Mylapore Village, Mandaveli Taluk, Chennai District.",December 2024," Latitude-13§01?19.0""N; Longitude-80§15?51.8""E;"
305," - Construction of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Plot Nos.31, 32 comprised in S.No.696B/3A1B of Melakaram Village, Tenkasi Taluk, Tenkasi District.",14.05.2031, Latitude-8§94?N; Longitude-77§28?E;
306," - Construction of Registration of Stilt + 4 Floors + 5th Floor (part) Residential Building with 18 dwelling units (Affordable Housing) at Plot Nos.249, 250 & 251 (CMDA approved Layout-91/84), Indira Priyadharshini Nagar, Perumbakkam, Chennai comprised in S.Nos.462/14, 462/15 & 462/16 of Perumbakkam Village, Tambaram Taluk, Chengalpattu District.",May 2026, Latitude-12ø54?02.2?N; Longitude-80ø12?31.2?E;
307," - Construction of Registration of Stilt Floor + 3 Floors Residential Building with 09 Dwelling Units at Plot No.A & B, Om Sakthi Nagar comprised in S.No.499/1C, Patta No.5153 of Pallikaranai Village, Sholinganallur Taluk, Chennai District.",31.10.2025, Latitude-12ø56?00.3?N; Longitude-80ø12?23.1?E;
308," - Construction of Developer?s Share of Flat Nos.A1, B1, C1, A3, B3, C3 (Total 06 Flats) of Demolition and Reconstruction of Stilt + 3 Floors Residential Building with 09 Dwelling Units at Plot No.4, MGR Street, Yogeshwaran Street, Muthu Nagar Extension comprised in T.S.No.77, Ward No.D, Block No.26 of Karunanidhipuram, Ullagaram, Madipakkam Village, Chennai District.",14.04.2024, Latitude-13ø03?18.4?N; Longitude-80ø11?46.9?E;
309," - Construction of Registration of Group Development Residential Building consisting of 4 Blocks - Block-A: Stilt Floor + 5 Floors with 25 Dwelling Units, Block-B: Stilt Floor + 5 Floors with 30 Dwelling Units, Block-C: Stilt Floor + 5 Floors with 30 Dwelling Units, Block-D: Stilt Floor + 5 Floors with 30 Dwelling Units Totally 115 dwelling units at Survey Nos.110/4B, 126/1B of Kurudampalayam Village, Coimbatore District.",19.04.2028,
310," - Construction of Registration of Stilt Floor + 4 Floors Residential Building with 10 Dwelling Units at Site No.14 comprised in New T.S.No.424/16, Ward No.H(8), Block No.12 of R.S.Puram, Coimbatore Taluk, Coimbatore District.",08.01.2025, Latitude-11ø00?87.4?N; Longitude-76ø94?72.4?E;
311," - Construction of Registration of Stilt Floor + 5 Floor Residential Building with 15 Dwelling Units at Plot No.B-60, 13th Cross Street, Maharaja Nagar, Approved Layout No. L.P.H/D.T.P.No.56/62 comprised in New T.S.No.70, T.S.Ward-BS, Block?8, R.S.No.315/2 Part, High Ground D.D.Plan of V.M.Chathiram Village, Palayamkottai Taluk, Tirunelveli District.",17.04.2028, Latitude-8ø42?22.4?N; Longitude-77ø45?09.6?E;
312," - Construction of Promoter?s share of Flat Nos. 2nd Floor ? 2A, 3rd Floor ? 3A, 4th Floor ? 4A, 5th Floor ? 5A, 6th Floor ? 6A, 7th Floor ? 7A, 8th Floor ? 8A, 37, 38, 39, 40, 9th Floor ? 41, 42, 43, 44, 45 (Total Promoter?s Share - 16 Flats) at Extended Basement Floor (Part) + Stilt Floor + 9 Floors Residential Building at Door No.160/1, Jawaharlal Nehru Road (7th Avenue), Anna Nagar West, Chennai ? 600040 comprised in S.Nos.202 (Part), 207 (Part), 212 (Part), 227 (Part), T.S.No.14/5, Block No.28 of Koyambedu Village, Aminjikarai Taluk, Chennai District.",30.06.2026, Latitude-13ø04?N; Longitude-80ø11?E;
313," - Construction of Registration of High Rise Building consisting of Stilt Floor (Part) Cum Ground Floor (Part) + 9 Floors Residential Building with 72 Dwelling Units at Velachery?Tambaram Main Road, Pallikaranai, Chennai comprised in Survey Nos.305/1A, 1B, 1C, 1D & 1E of Pallikaranai Village, Sholinganallur Taluk, Chennai District.",June 2031," Latitude-12ø55?33.4""N; Longitude-80ø11?50.1?E;"
314," - Construction of Registration of Block-D: Basement + Stilt Floor + 5 Floor Residential Building with 30 dwelling units at T.S.No.7/4, Block No.24 & T.S.No.7/5, Block No.23, Ward-J of Shanmuga Nagar West Extension-I, Uyyakondan Thirumalai Village, K.Abhisekapuram Zone, Tiruchirapalli Corporation.",December 2024," Latitude-10§48?45.4""N; Longitude-78§39?26.5?E;"
315,,January 2026," Latitude-12ø52?10.74""N; Longitude-80ø12?9.52?E;"
316,,Completed," Latitude-13§01?75.36""N; Longitude-80§23?17.42?E;"
317," - Construction of Stilt + 5 Floors Residential Building with 90 Dwelling Units (Affordable Housing) comprised in S.Nos.261/1A1A, 261/1A, 262/1A1B, 262/2B & 262/1A1B1A (as per Document), S.Nos.261/1A1A, 261/1A1B, 262/1A1B1B, 262/2B2 & 262/9 (as Per Patta) of Mettukuppam Main Road, Seemathamman Colony, Maduravoyal Village, Chennai District.",30.05.2030,
318," - Construction of Registration of Multi?Storied Block-1: Basement Floor + Stilt Floor + 19 Floors (1st Floor Podium Level Parking) with 234 dwelling units & Block?2: Basement Floor + Stilt Floor + 19 Floors (1st & 2nd Floor Podium Level Parking) with 442 dwelling units (Total 676 dwelling units) and Stilt Floor + 4 Floors for Club House comprised in S.Nos.123, 127/1, 2, 3, 130/1A, 1B, 10, 11, 12, 13, 14, 15B, 16, 17A1B, 17A2, 17B1, 17B2, 17B3, 18, 19, 20, 131, 132/1A, 1B, 2, 3, 133, 134/1A1, 1A2, 1B, 1C, 1D, 2A, 2B, 135/1, 2, 136/1, 2, 3, 4, 5, 6A, 6B, 6C, 7, 137/1, 2, 138/1, 2A, 2B1, 2B2, 3, 4, 5A, 5B, 139/2D part, 3, 4 part, 5, 6, 7, 8, 9, 10, 151/3 part, 153/1, 2A, 2B, 3, 4, 5, 6, 154/1, 2, 155/1, 2, 156/1, 2, 3, 4A, 4B, 5B, 6, 8A, 9B1A, 9B1B, 9B2, 10B, 11, 157/1 part, 2 part, 3 part, 4 part, 5 part, 6 part, 158/1 part, 2 part, 159/2 part, 5 part, 7 part, 8 part, 11 part, 12, 160/1 part, 2A1 part, 2A2, 2B, 3, 4, 5A, 5B, 6, 161, 162, 163/2 part, 4A part, 4B part, 5 part, 163/6 of Siruseri Village and S.Nos.90/3A1A, 90/3A1B part of Pudupakkam Village, Thiruporur Taluk, Kancheepuram District.",June 2029," Latitude-12ø49?32.6""N; Longitude-80ø12?17.8?E;"
319," - Construction of Registration of Stilt Floor + 13 Floors of Tower-1, 2, 3 & 7 with 156, 117, 143, 208 dwelling units respectively Total 624 dwelling units and Stilt + 4 Floors Commercial Building out of approved High Rise Residential cum Commercial Group Development Buildings consisting of 7 Towers with Extended Combined Basement below the Towers-3, 4, 6, 7 and Club House, Tower-1 - 7, Stilt + 13 Floors Residential Building with Totally 1053 dwelling units (Tower-1: 156 units, Tower-2 & 5: 117 units in each Tower, Tower-3 & 4: 143 units in each Tower, Tower-6: 169 units and Tower-7: 208 units), Club House: Ground Floor (Store, Clinic, Cafeteria & Creche) + First Floor (Gym, Indoor Games and Library) and Swimming Pool near Club House comprised in S.Nos.399/1A, 1B, 1C, 1D, 1E, 1F & 3B and 418/1A, 1B, 1C & 1D2 of Kuthambakkam Village, Thiruvallur District.",June 2028," Latitude-13ø2?56.40""N; Longitude-80ø1?24.53?E;"
320," - Construction of Registration of High Rise Group Development Building with 2 Blocks for Residential cum Commercial (Club House) Buildings at Block No.1 with 3 Towers consisting Combined / Extended Basement Floor (for Parking) + Combined Stilt Floor (for Parking) + Combined 1st Floor to 3rd Floor (for Residential use in Tower-A & B and Club House use in Tower-C) over & above 2 Towers each with 4th Floor to 16th Floor + 17th Floor Part for Residential use with 128 dwelling units, Block No.2 with Ground Floor (for Change Room & Pump Room) and Swimming Pool at Ground Level at Clock Tower Road & Gurusamy Street Padi, Chennai - 600050 comprised in Old S.Nos.235/2 (Part), 235/3 (Part) and 236/1 (Part) (as per Document), as per Patta T.S.Nos.2/67 and 3/108, Block No.68 of Padi (Padikuppam) Village, as per Patta Ambathur Town, Ambathur Taluk, Chennai District within the limit of Greater Chennai Corporation.",August 2028," Latitude-13ø4;49.88""N; Longitude-80ø11?32.25?E;"
321,,30.12.2023," Latitude-11ø00?52.7""N; Longitude-77ø33?00.9?E;"
322," - Construction of Registration of Stilt Floor + 4 Floors Residential Building with 12 dwelling units comprised in Plot No.7 & 8, T.S.No.7/9, Ward?L, Block?1 of Vekkaliamman Nagar, K.Abisekapuram Division, Pandamangalam Village, Uraiyur Taluk, Trichirapalli District.",May 2025," Latitude-10ø83?06.32""N; Longitude-78ø67?02.96?E;"
323," - Construction of Registration of Stilt + 5 Floors Residential Building with 09 Dwelling Units at Plot No.22, Door No.42/2, 4th Street, Luz Avenue, Mylapore, Chennai comprised in R.S.No.3575 Part (as per Document), as per Patta New R.S.No.3575/18, Block No.71 of Mylapore Village, Mylapore Taluk, Chennai District.",April 2031," Latitude-13ø03?54.76""N; Longitude-80ø26?16.00?E;"
324," - Construction of Stilt Floor + 4 Floors Residential Building with 12 dwelling units at Old Door No.63/1, 2, 63/3 & 63/4, New Door No.20/1, 2, 3 & 4, MIG Block No.63, Indira Nagar 3rd Street, Ashok Nagar, Chennai comprised in Old S.No.281pt, Old T.S.No.2pt, New T.S.No.2/36, Block No.71 of Kodambakkam Village, Chennai.",31.06.2025," Latitude-13§01?57.9""N; Longitude-80§12?37.4?E;"
325,,01.04.2026," Latitude-13§01?13.40""N; Longitude-80§09?08.00?E;"
326," - Construction of Stilt Floor + 3 Floors with 9 dwelling units at Door No.18, Block No.35, Ward No.001, Plot No.10 & 13, T.S.No.18 of Dharmambal Street, Avvai Nagar (N180), Thiruvanmiyur, Chennai ? 600004.",31.12.2025,
327," - Construction of Stilt + 3 Floors Residential Building with 9 dwelling units at Plot No.5 comprised in S.No.94/10 of Lake View Road, Rajesh Nagar (189), Pallikaranai, Chennai ? 600100.",31.12.2024,
328," - Construction of Registration of Developer?s Share of Flat Nos.T3, T2, F2 (Total 03 Flats) of Stilt Floor + 3 Floors Residential Building with 12 dwelling units at Plot No.59 & 64, as per Sub?division - Plot-A, Munnusamy Street & Senthen Street comprised in Old S.No.38/2Bpt, as per Patta T.S.No.76/2, Block No.30 of Virugambakkam Village, Alandur Taluk, Chennai District.",31.12.2023," Latitude-13§03?17.7""N; Longitude-80§11?47.41?E;"
329," - Construction of Registration of Developer?s Share of Flat Nos.F3, S3, T6, T3 (Total 04 Flats) of Stilt Floor + 3 Floors Residential Building with 15 dwelling units at Plot No.B, Senthen Street & Kasthuri Street comprised in Old S.No.38/2Bpt, as per Patta T.S.No.76/2, Block No.30 of Virugambakkam Village, Alandur Taluk, Chennai District.",31.10.2024," Latitude-12§58?11.7""N; Longitude-80§11?27.80?E;"
330,,30.05.2025," Latitude-13§02?48.48""N; Longitude-80§07?24.02?E;"
331," - Construction of Developer?s share of Flat Nos.102, 103 in 1st Floor, 203 in 2nd Floor, 302, 303 in 3rd Floor, 403 in 4th Floor, 502, 503 in 5th Floor (Total 8 Flats) in Stilt Floor + 5 Floors Residential Building with 20 dwelling units at Door No.H35/1, West Avenue Road & Ranganathapuram 1st Main Road, Kamaraj Nagar, Thiruvanmiyur, Chennai comprised in Old S.Nos.42/1 part, 41/24 part, 41/1 part, T.S.No.157/3, Block No.14 of Thiruvanmiyur Village, Chennai.",28.02.2023," Latitude-12§59?15.9""N; Longitude-80§15?15.3?E;"
332,Project Details and Address,December 2027, Latitude-13.078222'N; Longitude-80.144677'E;
333," - Construction of Registration of Developer?s share of Flat Nos.C1, C4, D2, D3 (Totally 04 Flats) Stilt Floor + 4 Floors (Height ? 16.0m) Residential Building availing Premium FSI with 15 dwelling units at Plot No.19 & 20, Indira Gandhi Nagar 4th Street (Bashyam Colony), Ganesh Nagar, Adambakkam, Chennai ? 600088 comprised in Old S.No.114/1K, New T.S.No.47, Block No.105 of Velachery Village within the limit of Greater Chennai Corporation.",13.12.2024,
334," - Construction of Registration of Developer?s share of Flat Nos.19E, 20B, 13B, 4F, 17F & 7D (6 Flats) in Tower-2 in addition to already registered Flat Nos.17B & 20F (2 Flats) in Tower-2 and all the 120 Flats excluding Flat Nos.11A, 7A, 15F, 1F, 19F & 14F (6 Nos.) in Tower-1 approved High Rise Building (HRB) for Residential cum Commercial (Indoor Games & Multipurpose Hall) purpose with an Extended Double Basement Floor (Meant for Parking use) + Stilt Floor Part (Meant for Parking use) / G.Floor Part (Indoor Games) + 1st Floor (Residential & Multipurpose Hall) + 2nd Floor (Residential and Gym & SPA use) + 3rd Floor (Residential and Swimming Pool with Toilets) + 4th Floor to 20th Floor (Residential) with Two Towers with 240 dwelling units availing with Premium FSI at No.120, MIG Flats, 11th Avenue, Ashok Nagar, Chennai ? 600083 comprised in Old S.No.277 part, T.S.No.14/7, Block No.71 of Kodambakkam Village, Chennai.",28.12.2026," Latitude-13§01?63.70""N; Longitude-80§12?48.06?E;"
335," - Construction of Registration of Phase-V of Block-A: Ground Floor + 4 Floors with 40 Dwelling Units and Block-B: Ground Floor + 4 Floors with 60 Dwelling Units (2 Blocks with Total 100 Dwelling Units) comprised in S.Nos.381/1A, 1B1, 1B2, 3A, 3B, 3C, 383/1A, 1B, 1C, 3, 384 to 390, 393/12A1, 12A2, 12A3, 12A4, 12A5, 12A6, 12A7, 15A2, 15B1, 15B2, 15B3, 15B4, 394 (except 394/15), 437 (except 437/5), 438, 439 of Govindapuram Hamlet, Sengundram Village, Chengalpattu Taluk, Kancheepuram District.",31.12.2026," Latitude-12§76?10.3""N; Longitude-80§04?29.2?E;"
336," - Construction of 4 Residential cum Commercial Towers with Combined & Extended Triple Basement Floor; 3rd Basement Floor part (for Towers-3 & 4) + 2nd Floor & 1st Basement Floors (for Towers-2 to 5) over & above in Tower?2 & 3: Combined Ground Floor (for Towers-2 & 3) (2 dwelling units, Party Hall, Mini Theatre, Indoor Games, Multi-Purpose Hall, Squash Court, Spa and Swimming Pool Ground Level) + Combined 1st Floor (for Towers-2 & 3 (5 dwelling units, Gym & Yoga)) + 2nd Floor (Combined Tower?2 & 3 with 9 (5+4) dwelling units, Indoor Amenities) + 3rd Floor to 16th Floor in each Tower?2 & 3 with 10 dwelling units in each Floor, Totally 156 dwelling units in Tower-2 & 3; Tower?4: Ground Floor + 16 Floors with 397 dwelling units; Tower?5: Ground Floor + 16 Floors with 427 dwelling units Totally 980 dwelling units, abutting Mount?Poonamallee Road comprised in S.Nos.115/16 & 117 of Ramapuram Village, Maduravoyal Taluk, Chennai District and S.Nos.22/1, 23 of Manapakkam Village, Alandur Taluk, Chennai District.","30.09.2028 for Tower-2, 3, 4, 5", Latitude-13§01?N; Longitude-80§10?E;
